Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
12/6/2016,13.144,14.4206,16.3547,16.5447,193147
12/5/2016,13.647,14.6498,16.2812,16.6681,320225
12/2/2016,15.479,15.0495,16.4703,16.786,469541
12/1/2016,15.661,15.3216,15.7168,16.7234,782131
11/30/2016,13.391,15.5025,15.5567,16.6882,428841
11/29/2016,12.802,15.7612,15.502,16.689,229096
11/28/2016,12.733,15.9799,15.6104,16.6898,248212
11/25/2016,12.462,16.1818,15.9603,16.69,202807
11/23/2016,12.423,16.3229,16.0753,16.7153,327573
11/22/2016,12.327,16.4132,16.056,16.7196,440395
11/21/2016,12.666,16.4698,16.0794,16.7062,339090
11/18/2016,14.201,16.4624,16.0023,16.7033,427255
11/17/2016,14.341,16.431,15.8548,16.7607,422148
11/16/2016,15.088,16.4217,15.4189,16.7404,343302
11/15/2016,15.491,16.3861,15.6118,16.7868,536682
11/14/2016,16.775,16.3544,15.237,16.845,475189
11/11/2016,16.585,16.2969,15.2335,16.8455,610766
11/10/2016,16.745,16.2098,13.7293,16.7112,977746
11/9/2016,14.699,16.1378,12.6879,16.6464,720728
11/8/2016,17.752,16.1226,13.18,16.6501,482636
11/7/2016,17.728,15.9508,11.7218,16.5572,500263
11/4/2016,21.641,15.6728,11.7691,16.5612,408813
11/3/2016,20.921,15.2379,11.5298,16.5506,503112
11/2/2016,19.279,14.8265,11.3586,16.5487,450541
11/1/2016,18.564,14.5044,10.9289,16.5361,437931
10/31/2016,17.178,14.2441,10.9148,16.5376,200866
10/28/2016,16.77,14.0171,10.9063,16.5367,782879
10/27/2016,15.284,13.8078,10.603,16.52,421161
10/26/2016,14.228,13.7449,10.3656,16.5115,402319
10/25/2016,13.46,13.6454,10.9449,16.5135,370025
10/24/2016,12.518,13.5949,10.7494,16.7001,309426
10/21/2016,13.573,13.6551,10.8291,16.7602,460896
10/20/2016,14.155,13.5733,10.8672,16.7926,324023
10/19/2016,14.376,13.4401,11.1627,16.7963,244685
10/18/2016,14.857,13.3672,10.4308,16.7668,290125
10/17/2016,15.626,13.3499,10.7327,16.7673,215443
10/14/2016,14.842,13.2755,10.547,16.806,450353
10/13/2016,15.306,13.231,11.2907,16.7879,378644
10/12/2016,14.394,13.1821,11.3933,16.7946,199695
10/11/2016,14.316,13.2559,10.782,16.7466,435016
10/10/2016,12.168,13.3349,13.3885,16.7433,245866
10/7/2016,12.943,13.4177,14.7856,16.7822,351898
10/6/2016,12.692,13.5657,14.7659,16.7991,250662
10/5/2016,12.839,13.4936,14.7649,16.8127,288896
10/4/2016,13.357,13.3889,14.6811,16.8313,375423
10/3/2016,12.639,13.2723,14.7925,17.0676,283566
9/30/2016,12.583,13.2289,14.7286,17.0999,424137
9/29/2016,14.026,13.2493,14.6291,17.1773,458186
